[19:00:23] ===== analyze_wasps_vs_euclraw n_jobs=2 seed=42 tests=['baseline', 'test1_exponential_intensity', 'test2_wasps_fixed_k2', 'test3_window32_logcumulant', 'test4_window32_mle', 'test5_baseline_mle'] n_seeds=10 gamma_grid=[0.0001, 0.01, 0.1, 1.0, 10.0, 100.0, 10000.0] =====
[19:00:23] [analyze] ===== baseline ===== dataset_overrides={} clf_overrides={}
[19:07:48] [load] fold=None seed=49 T=29 aggregate_days=None window_size=9 samples_per_step=48 n_train=105 (cap=105) n_test=175 (cap=175) classes_train=[0, 1, 2, 3, 4, 5, 6]
[19:07:55] [load] fold=None seed=49 T=29 aggregate_days=None window_size=9 samples_per_step=48 n_train=105 (cap=105) n_test=175 (cap=175) classes_train=[0, 1, 2, 3, 4, 5, 6]
[19:07:57] [load] fold=None seed=50 T=29 aggregate_days=None window_size=9 samples_per_step=48 n_train=105 (cap=105) n_test=175 (cap=175) classes_train=[0, 1, 2, 3, 4, 5, 6]
[19:08:03] [load] fold=None seed=50 T=29 aggregate_days=None window_size=9 samples_per_step=48 n_train=105 (cap=105) n_test=175 (cap=175) classes_train=[0, 1, 2, 3, 4, 5, 6]
[19:08:06] [load] fold=None seed=51 T=29 aggregate_days=None window_size=9 samples_per_step=48 n_train=105 (cap=105) n_test=175 (cap=175) classes_train=[0, 1, 2, 3, 4, 5, 6]
[19:08:12] [load] fold=None seed=51 T=29 aggregate_days=None window_size=9 samples_per_step=48 n_train=105 (cap=105) n_test=175 (cap=175) classes_train=[0, 1, 2, 3, 4, 5, 6]
[19:08:19] [load] fold=None seed=42 T=29 aggregate_days=None window_size=9 samples_per_step=48 n_train=105 (cap=105) n_test=175 (cap=175) classes_train=[0, 1, 2, 3, 4, 5, 6]
[19:08:22] [load] fold=None seed=42 T=29 aggregate_days=None window_size=9 samples_per_step=48 n_train=105 (cap=105) n_test=175 (cap=175) classes_train=[0, 1, 2, 3, 4, 5, 6]
[19:08:28] [load] fold=None seed=43 T=29 aggregate_days=None window_size=9 samples_per_step=48 n_train=105 (cap=105) n_test=175 (cap=175) classes_train=[0, 1, 2, 3, 4, 5, 6]
[19:08:31] [load] fold=None seed=43 T=29 aggregate_days=None window_size=9 samples_per_step=48 n_train=105 (cap=105) n_test=175 (cap=175) classes_train=[0, 1, 2, 3, 4, 5, 6]
[19:08:37] [load] fold=None seed=44 T=29 aggregate_days=None window_size=9 samples_per_step=48 n_train=105 (cap=105) n_test=175 (cap=175) classes_train=[0, 1, 2, 3, 4, 5, 6]
[19:08:40] [load] fold=None seed=44 T=29 aggregate_days=None window_size=9 samples_per_step=48 n_train=105 (cap=105) n_test=175 (cap=175) classes_train=[0, 1, 2, 3, 4, 5, 6]
[19:08:49] [load] fold=None seed=45 T=29 aggregate_days=None window_size=9 samples_per_step=48 n_train=105 (cap=105) n_test=175 (cap=175) classes_train=[0, 1, 2, 3, 4, 5, 6]
[19:08:52] [load] fold=None seed=45 T=29 aggregate_days=None window_size=9 samples_per_step=48 n_train=105 (cap=105) n_test=175 (cap=175) classes_train=[0, 1, 2, 3, 4, 5, 6]
[19:08:57] [load] fold=None seed=46 T=29 aggregate_days=None window_size=9 samples_per_step=48 n_train=105 (cap=105) n_test=175 (cap=175) classes_train=[0, 1, 2, 3, 4, 5, 6]
[19:09:01] [load] fold=None seed=46 T=29 aggregate_days=None window_size=9 samples_per_step=48 n_train=105 (cap=105) n_test=175 (cap=175) classes_train=[0, 1, 2, 3, 4, 5, 6]
[19:09:06] [load] fold=None seed=47 T=29 aggregate_days=None window_size=9 samples_per_step=48 n_train=105 (cap=105) n_test=175 (cap=175) classes_train=[0, 1, 2, 3, 4, 5, 6]
[19:09:10] [load] fold=None seed=47 T=29 aggregate_days=None window_size=9 samples_per_step=48 n_train=105 (cap=105) n_test=175 (cap=175) classes_train=[0, 1, 2, 3, 4, 5, 6]
[19:09:14] [load] fold=None seed=48 T=29 aggregate_days=None window_size=9 samples_per_step=48 n_train=105 (cap=105) n_test=175 (cap=175) classes_train=[0, 1, 2, 3, 4, 5, 6]
[19:09:19] [load] fold=None seed=48 T=29 aggregate_days=None window_size=9 samples_per_step=48 n_train=105 (cap=105) n_test=175 (cap=175) classes_train=[0, 1, 2, 3, 4, 5, 6]
[19:09:24] [load] fold=None seed=49 T=29 aggregate_days=None window_size=9 samples_per_step=48 n_train=105 (cap=105) n_test=175 (cap=175) classes_train=[0, 1, 2, 3, 4, 5, 6]
[19:09:27] [load] fold=None seed=49 T=29 aggregate_days=None window_size=9 samples_per_step=48 n_train=105 (cap=105) n_test=175 (cap=175) classes_train=[0, 1, 2, 3, 4, 5, 6]
[19:09:36] [load] fold=None seed=50 T=29 aggregate_days=None window_size=9 samples_per_step=48 n_train=105 (cap=105) n_test=175 (cap=175) classes_train=[0, 1, 2, 3, 4, 5, 6]
[19:09:36] [load] fold=None seed=50 T=29 aggregate_days=None window_size=9 samples_per_step=48 n_train=105 (cap=105) n_test=175 (cap=175) classes_train=[0, 1, 2, 3, 4, 5, 6]
[19:09:45] [load] fold=None seed=51 T=29 aggregate_days=None window_size=9 samples_per_step=48 n_train=105 (cap=105) n_test=175 (cap=175) classes_train=[0, 1, 2, 3, 4, 5, 6]
